"Cmd.","Sub cmd.","Data","Description"
"00","","see p. 20-11","Send the operating frequency for transceive"
"01","","see p. 20-11","Send the operating mode for transceive"
"02","","see p. 20-12","Read the band edge frequencies"
"03","","see p. 20-11","Read the operating frequency"
"04","","see p. 20-11","Read the operating mode"
"05","","see p. 20-11","Send the operating frequency"
"06","00","","Select the LSB mode"
"06","01","","Select the USB mode"
"06","02","","Select the AM mode"
"06","03","","Select the CW mode"
"06","04","","Select the RTTY mode"
"06","05","","Select the FM mode"
"06","06","","Select the WFM mode"
"06","07","","Select the CW-R mode"
"06","08","","Select the RTTY-R mode"
"06","17","","Select the DV mode"
"07","00","","Select VFO A"
"07","01","","Select VFO B"
"07","A0","","Equalize VFO A and VFO B"
"07","B0","","Exchange VFO A and VFO B"
"07","","","Select the VFO mode"
"08","A0","01","Select Memory Bank A"
"08","A0","02","Select Memory Bank B"
"08","A0","03","Select Memory Bank C"
"08","A0","04","Select Memory Bank D"
"08","A0","05","Select Memory Bank E"
"08","","","Select the Memory mode"
"08","","0001 to 0099, 0100-0109","Select the Memory channel (0001=M-CH01 to 0099=M-CH99, 0100=1A, 0101=1B, 0102=2A, 0103=2B, 0104=3A, 0105=3B, 0106=144-C1, 0107=144-C2, 0108=430-C1, 0109=430-C2)"
"09","","","Memory write"
"0A","","","Memory copy to VFO"
"0B","","","Memory clear"
"0C","","","Read offset frequency"
"0D","","","Send offset frequency"
"0E","00","","Scan stop"
"0E","01","","Programmed/memory scan start"
"0E","02","","Programmed scan start"
"0E","03","","∂F scan start"
"0E","12","","Fine programmed scan start"
"0E","13","","Fine ∂F scan start"
"0E","22","","Memory scan start"
"0E","23","","Select memory scan start"
"0E","24","","Mode select scan start"
"0E","A1","","Set the ±5 kHz ∂F scan span"
"0E","A2","","Set the ±10 kHz ∂F scan span"
"0E","A3","","Set the ±20 kHz ∂F scan span"
"0E","A4","","Set the ±50 kHz ∂F scan span"
"0E","A5","","Set the ±100 kHz ∂F scan span"
"0E","A6","","Set the ±500 kHz ∂F scan span"
"0E","A7","","Set the ±1 MHz ∂F scan span"
"0E","B0","","Set as the Non-select Memory channel"
"0E","B1","","Set as the Select Memory channel"
"0E","D0","","Set Scan resume function OFF"
"0E","D3","","Set Scan resume function ON"
"0F","00","","Read Split function OFF"
"0F","00","","Set Split function OFF"
"0F","01","","Read Split function ON"
"0F","01","","Set Split function ON"
"0F","10","","Set the simplex operation"
"0F","11","","Read DUP- operation"
"0F","11","","Set DUP- operation"
"0F","12","","Read DUP+ operation"
"0F","12","","Set DUP+ operation"
"10","00","","Send/read the 10 Hz (1 Hz) tuning step"
"10","01","","Send/read the 0.1 kHz tuning step"
"10","02","","Send/read the 1 kHz tuning step"
"10","03","","Send/read the 5 kHz tuning step"
"10","04","","Send/read the 6.25 kHz tuning step"
"10","05","","Send/read the 9 kHz tuning step"
"10","06","","Send/read the 10 kHz tuning step"
"10","07","","Send/read the 12.5 kHz tuning step"
"10","08","","Send/read the 20 kHz tuning step"
"10","09","","Send/read the 25 kHz tuning step"
"10","10","","Send/read the 50 kHz tuning step"
"10","11","","Send/read the 100 kHz tuning step"
"10","12","","Send/read the 1 MHz tuning step"
"11","00","","Send/read Attenuator OFF"
"11","12","","Send/read 12 dB attenuator"
"13","00","","Announce the operating frequency, operating mode and S-meter level by voice synthesizer"
"13","01","","Announce the operating frequency and S meter level by voice synthesizer"
"13","02","","Announce the operating mode by voice synthesizer"
"14","01","0000 ~ 0255","Send/read the AF level (0000=min. to 0255=max.)"
"14","02","0000 ~ 0255","Send/read the RF gain level (0000=min., 0255=max.)"
"14","03","0000 ~ 0255","Send/read the squelch level (0000=min. to 0255=max.)"
"14","06","0000 ~ 0255","Send/read the NR level (0000=0% to 0255=100%)"
"14","07","0000 ~ 0255","Send/read the inner [TWIN PBT] position (0000=Cutting the higher passband edge, 0128=center, 0255=Cutting the lower passband edge)"
"14","08","0000 ~ 0255","Send/read the outer [TWIN PBT] position (0000=Cutting the higher passband edge, 0128=center, 0255=Cutting the lower passband edge)"
"14","09","0000 ~ 0255","Send/read the CW PITCH (0000=300 Hz, 0128=600 Hz, 0255=900 Hz)"
"14","0A","0000 ~ 0255","Send/read the RF power level (0000=min. to 0255=max.)"
"14","0B","0000 ~ 0255","Send/read the MIC gain level (0000=min. to 0255=max.)"
"14","0C","0000 ~ 0255","Send/read the KEY SPEED (0000=6 WPM to 0255=48 WPM)"
"14","0D","0000 ~ 0255","Send/read the NOTCH setting (0000=lowest, 0128=center, 0255=highest)"
"14","0E","0000 ~ 0255","Send/read the COMP level (0000=0 to 0255=10)"
"14","0F","0000 ~ 0255","Send/read the Break-IN Delay setting (0000=2.0d to 0255=13.0d)"
"14","12","0000 ~ 0255","Send/read NB level (0000=0% to 0255=100%)"
"14","15","0000 ~ 0255","Send/read the Monitor gain level (0000=0% to 0255=100%)"
"14","16","0000 ~ 0255","Send/read the VOX gain level (0000=0% to 0255=100%)"
"14","17","0000 ~ 0255","Send/read the Anti VOX gain level (0000=0% to 0255=100%)"
"14","18","0000 ~ 0255","Send/read the LCD contrast level (0000=0% to 0255=100%)"
"14","19","0000 ~ 0255","Send/read the LCD backlight level (0000=0% to 0255=100%)"
"15","01","00","Read the squelch status (squelch closed)"
"15","01","01","Read the squelch status (squelch open)"
"15","02","0000 ~ 0255","Read the S-meter level (0000=S0, 0120=S9, 0241=S9+60 dB)"
"15","05","00","Read various SQL function's status (squelch closed)"
"15","05","01","Read various SQL function's status (squelch open)"
"15","11","0000 ~ 0255","Read the PO meter level (0000=0%, 0143=50%, 213=100%)"
"15","12","0000 ~ 0255","Read the SWR meter level (0000=SWR1.0, 0048=SWR1.5, 0080=SWR2.0, 0120=SWR3.0)"
"15","13","0000 ~ 0255","Read the ALC meter level (0000=Min. to 0120=Max.)"
"15","14","0000 ~ 0255","Read the COMP meter level (0000=0 dB, 0130=15 dB, 0241=30 dB)"
"15","15","0000 ~ 0255","Read the Vd meter level (0000=0 V, 0013=10 V, 0241=16 V)"
"15","16","0000 ~ 0255","Read the Id meter level (0000=0, 0097=10, 0146=15, 0241=25)"
"16","02","00","Send/read Preamp OFF"
"16","02","01","Send/read Preamp ON (144/430 MHz) / Preamp 1 ON (HF/50 MHz)"
"16","02","02","Send/read Preamp 2 ON (HF/50 MHz)"
"16","12","01","Send/read AGC FAST"
"16","12","02","Send/read AGC MID"
"16","12","03","Send/read AGC SLOW"
"16","22","00","Send/read Noise Blanker OFF"
"16","22","01","Send/read Noise Blanker ON"
"16","40","00","Send/read Noise Reduction OFF"
"16","40","01","Send/read Noise Reduction ON"
"16","41","00","Send/read Auto Notch function OFF"
"16","41","01","Send/read Auto Notch function ON"
"16","42","00","Send/read Repeater tone OFF"
"16","42","01","Send/read Repeater tone ON"
"16","43","00","Send/read Tone squelch OFF"
"16","43","01","Send/read Tone squelch ON"
"16","44","00","Send/read Speech compressor OFF"
"16","44","01","Send/read Speech compressor ON"
"16","45","00","Send/read Monitor function OFF"
"16","45","01","Send/read Monitor function ON"
"16","46","00","Send/read VOX function OFF"
"16","46","01","Send/read VOX function ON"
"16","47","00","Send/read BK-IN function OFF"
"16","47","01","Send/read Semi BK-IN function ON"
"16","47","02","Send/read Full BK-IN function ON"
"16","48","00","Send/read Manual notch function OFF"
