"Cmd.","Sub cmd.","Data","Description"
"00","","See p. 16","Sets and outputs the current operating frequency."
"01","","See p. 16","Sets and outputs the current operating mode."
"02","","See p. 16","Reads the current upper and lower edge frequencies."
"03","","See p. 16","Reads the current operating frequency."
"04","","See p. 16","Reads the current operating mode."
"05","","See p. 16","Sets the current operating frequency."
"06","","See p. 16","Sets the operating mode."
"07","00","","Switches to the VFO mode and selects VFO A."
"07","01","","Switches to the VFO mode and selects VFO B."
"07","A0","","Equalizes VFO A and VFO B."
"07","B0","","Exchanges VFO A with VFO B."
"07","","","Switches to the VFO mode."
"08","00","01 ~ 99","Selects the Memory channel. (00 01=M-CH01, 00 99=M-CH99)"
"08","01","00","Selects the Programmed Scan Edge channel P1."
"08","01","01","Selects the Programmed Scan Edge channel P2."
"08","","","Switches to the Memory mode."
"09","","","Stores the displayed contents (operating frequency, mode, and so on) into the selected Memory channel."
"0A","","","Copies the selected Memory channel's contents to the VFO."
"0B","","","Clears the selected Memory channel and resets it to a blank channel. P1 and P2 cannot be cleared."
"0E","00","","Stops the current scan in progress."
"0E","01","","Starts a Programmed or Memory scan. In the VFO mode, a programmed scan will begin. In the Memory mode, a Memory scan will begin."
"0E","02","","Starts a Programmed scan."
"0E","03","","Starts a ∂F scan."
"0E","12","","Starts a Fine Programmed scan."
"0E","13","","Starts a Fine ∂F scan."
"0E","22","","Starts a Memory scan."
"0E","23","","Starts a Select Memory scan."
"0E","Ax","See p. 16","Sets the frequency span for ∂F scan."
"0E","B0","","Releases the Select Memory channel."
"0E","B1","","Sets the channel as a Select Memory channel."
"0E","B1","01 ~ 03","Sets the channel as a specific Select Memory channel. (01=SEL1, 02=SEL2, 03=SEL3)"
"0E","B2","00 ~ 03","Sets whether all or one of the Select Memory channels is scanned. (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)"
"0E","D0","","Turns the Scan Resume function OFF."
"0E","D3","","Turns the Scan Resume function (Close&Delay) ON."
"0F","00/01","","Reads the ON/OFF status of the Split function. (00=OFF, 01=ON)"
