"Cmd.","Sub cmd.","Data","Description","Band"
"00","","see p. 10","Send frequency data (transceive)",""
"01","","see p. 10","Send mode data (transceive)",""
"02","","see p. 10","Read band edge frequencies",""
"03","","see p. 10","Read operating frequency",""
"04","","see p. 10","Read operating mode",""
"05","","see p. 10","Set operating frequency",""
"06","","see p. 10","Set operating mode",""
"07","B0","","Exchange main and sub bands","29"
"07","B1","","Equalize main and sub bands","29"
"07","C0","","Turn OFF Dualwatch","29"
"07","C1","","Turn ON Dualwatch","29"
"07","C2","00 or 01","Send/read the dualwatch setting (00=OFF, 01=ON)","29"
"07","D0","","Select the main band","29"
"07","D1","","Select the sub band","29"
"07","D2","00","Send/read main band selection","29"
"07","D2","01","Send/read sub band selection","29"
"07","","","Select the VFO mode","29"
"08","01","00","Select program scan edge channel P1",""
"08","01","01","Select program scan edge channel P2",""
"08","","","Select the Memory mode",""
"08","","0001 to 0099","Select the Memory channel (Including the satellite mode) (0001=M-CH01, 0099=M-CH99)",""
"09","","","Memory write",""
"0A","","","Memory copy to VFO",""
"0B","","","Memory clear",""
"0E","00","","Cancel the scan",""
"0E","01","","Start a Programmed/memory scan",""
"0E","02","","Start a Programmed scan",""
"0E","03","","Start a ∂ F scan",""
"0E","12","","Start a Fine programmed scan",""
"0E","13","","Start a Fine ∂ F scan",""
"0E","22","","Start a Memory scan",""
"0E","23","","Start a Select memory scan",""
"0E","24","","Start a Mode Select scan",""
"0E","B0","","Clear the Select channel setting",""
"0E","B1","","Set as select channel (The previously set number by CI-V is set after turning power ON, or ""1"" is selected if no selection is performed.)",""
"0E","B1","01 to 03","Set the channel as a Select channel (01=SEL1, 02=SEL2, 03=SEL3)",""
"0E","B2","00 to 03","Set the Select memory scan channel (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)",""
"0E","D0","","Set Scan resume OFF",""
"0E","D3","","Set Scan resume ON (Close&Delay)",""
"0E","Ax","x=1 to 7","Select ∂ F scan span (x=1: ±5 kHz, x=2: ±10 kHz, x=3: ±20 kHz, x=4: ±50 kHz, x=5: ±100 kHz, x=6: ±500 kHz, x=7: ±1 MHz)",""
"0F","00","","Read Split OFF setting",""
"0F","01","","Read Split ON setting",""
"0F","10","","Set the simplex operation",""
"0F","11","","Read DUP– operation",""
"0F","12","","Read DUP+ operation",""
"10","","00 to 11","Send/read the tuning step (00=OFF (10 Hz or 1 Hz), 01=100 Hz, 02=500 Hz, 03=1 kHz, 04=5 kHz, 05=6.25 kHz, 06=10 kHz, 07=12.5 kHz, 08=20 kHz, 09=25 kHz, 10=50 kHz, 11=100 kHz)",""
"11","00","","Send/read attenuator OFF setting","29"
"11","03","","Send/read 3 dB attenuator setting","29"
"11","06","","Send/read 6 dB attenuator setting","29"
